Sex,Gender,Age,Ethnicity,Age Group,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,Male,0,1,1,288853,284698,282298,279559,277982,277193,276092,274983,273779,272957,272542,271442,271420,271309,271660,271735,273607,275841,278382,281088,283753,286069
1,Male,1,1,1,293646,290786,286461,283994,281191,279550,278699,277597,276486,275279,274456,274043,272935,272913,272796,273142,273211,275085,277320,279861,282569,285233
1,Male,2,1,1,308799,296276,293311,288854,286298,283404,281679,280823,279717,278600,277386,276559,276142,275022,274997,274870,275208,275265,277139,279375,281916,284625
1,Male,3,1,1,319001,311195,298478,295495,290920,288284,285310,283581,282720,281608,280486,279264,278433,278014,276881,276852,276717,277048,277095,278969,281204,283746
1,Male,4,1,1,319390,321172,313212,300401,297402,292718,290009,287029,285298,284431,283315,282189,280960,280124,279702,278561,278526,278383,278709,278745,280620,282854
1,Male,5,1,1,311677,321326,322958,314937,302044,299025,294249,291535,288548,286813,285944,284822,283692,282458,281619,281193,280043,280005,279856,280176,280205,282078
1,Male,6,1,1,324659,313292,322855,324430,316360,303395,300359,295553,292836,289844,288106,287234,286107,284974,283735,282894,282465,281309,281267,281112,281426,281449
1,Male,7,1,1,337676,326137,314615,324174,325702,317584,304556,301550,296721,293999,291002,289262,288389,287257,286121,284878,284034,283603,282441,282397,282237,282546
1,Male,8,1,1,327343,339131,327452,315862,325418,326898,318736,305691,302716,297862,295137,292137,290393,289519,288381,287243,285996,285150,284716,283548,283500,283336
1,Male,9,1,1,332052,328763,340457,328722,317064,326616,328051,319891,306828,303883,299005,296276,293270,291525,290649,289508,288366,287115,286266,285829,284655,284605
1,Male,10,1,1,320257,333527,330083,341751,329961,318237,327782,329216,321057,307979,305064,300161,297427,294418,292670,291791,290646,289501,288245,287393,286956,285776
1,Male,11,1,1,329686,321720,334921,331387,343031,331183,319393,328976,330410,322249,309155,306270,301345,298606,295592,293840,292959,291809,290662,289403,288547,288108
1,Male,12,1,1,330170,331225,323130,336322,332695,344314,332407,320595,330217,331651,323490,310380,307527,302576,299833,296814,295060,294176,293022,291870,290607,289749
1,Male,13,1,1,311056,331781,332691,324521,337705,333983,345577,333658,321825,331487,332919,324759,311631,308809,303833,301086,298062,296305,295418,294261,293105,291837
1,Male,14,1,1,293928,312724,333411,334220,325972,339143,335326,346941,335008,323150,332858,334287,326128,312983,310196,305190,302440,299410,297650,296759,295598,294439
1,Male,15,1,1,300594,295811,314542,335240,335934,327594,340748,336879,348520,336570,324684,334445,335873,327713,314547,311802,306764,304007,300973,299208,298313,297147
1,Male,16,1,2,295593,302681,297723,316428,337132,337701,329268,342467,338540,350209,338242,326326,336142,337569,329409,316220,313519,308446,305684,302646,300876,299978
1,Male,17,1,2,296593,298083,305036,299917,318588,339293,339719,331246,344501,340503,352204,340220,328266,338151,339574,331414,318199,315551,310437,307667,304623,302849
1,Male,18,1,3,307855,299798,301087,307916,302598,321215,341921,342263,333737,347062,342977,354718,342710,330710,340679,342100,333940,320691,318109,312945,310164,307111
1,Male,19,1,3,312206,312509,304207,305282,311931,306316,324858,345704,345927,337329,350751,346540,358340,346297,334230,344318,345735,337576,324277,321788,316549,313756
1,Male,20,1,4,336738,318025,318197,309657,310451,316850,310867,329492,350516,350586,341894,355440,351069,362941,350852,338701,348939,350350,342195,328831,326461,321127
1,Male,21,1,4,343067,342480,323286,323384,314603,315096,321248,315106,333807,354996,354924,346146,359806,355286,367228,355095,342868,353245,354649,346498,333074,330818
1,Male,22,1,4,349881,348217,347307,327762,327769,318726,318944,325065,318784,337552,358884,358687,349834,363596,358947,370947,358778,346481,356982,358382,350233,336759
1,Male,23,1,4,364762,354571,352635,351510,331635,331504,322220,322385,328477,322072,340898,362359,362051,353130,366979,362217,374269,362070,349712,360322,361716,353571
1,Male,24,1,4,371103,368533,357930,355833,354521,334346,334089,324792,324919,330990,324493,343361,364917,364526,355559,369473,364626,376716,364497,352094,362784,364177
1,Male,25,1,5,391328,374023,371114,360250,358011,356501,336099,335895,326593,326691,332747,326187,345085,366706,366256,357256,371216,366309,378425,366193,353762,364508
1,Male,26,1,5,381498,393911,376269,373133,362047,359645,357973,337536,337376,328071,328148,334191,327578,346500,368175,367675,358650,372645,367692,379828,367586,355131
1,Male,27,1,5,392547,383521,395712,377862,374543,363245,360713,359051,338592,338465,329160,329220,335254,328601,347540,369255,368719,359674,373698,368708,380861,368612
1,Male,28,1,5,410300,394185,384901,396972,378959,375464,364010,361497,359842,339368,339269,329965,330013,336039,329358,348307,370052,369490,360431,374475,369458,381623
1,Male,29,1,5,400058,411930,395549,386121,398089,379906,376266,364795,362302,360655,340168,340096,330793,330829,336846,330136,349096,370870,370280,361207,375273,370228
1,Male,30,1,5,376369,401398,413051,396532,386991,398846,380535,376887,365404,362927,361290,340792,340744,331444,331470,337482,330747,349715,371510,370897,361815,375897
1,Male,31,1,5,388705,377328,402195,413739,397116,387465,399229,380918,377265,365778,363314,361683,341183,341155,331857,331880,337885,331136,350106,371915,371285,362199
1,Male,32,1,5,369813,389663,378079,402871,414319,397589,387849,399625,381316,377656,366163,363715,362091,341589,341580,332287,332302,338301,331538,350509,372333,371687
1,Male,33,1,5,372244,370378,390055,378380,403104,414455,397653,387924,399705,381406,377744,366252,363816,362199,341705,341706,332420,332435,338428,331660,350629,372455
1,Male,34,1,5,373942,372481,370465,390062,378323,402961,414240,397454,387737,399515,381234,377576,366093,363665,362052,341573,341581,332304,332321,338311,331547,350508
1,Male,35,1,6,352798,374072,372460,370387,389911,378113,402677,413952,397182,387479,399253,380990,377339,365866,363446,361837,341375,341389,332121,332143,338128,331371
1,Male,36,1,6,360279,352869,373992,372321,370203,389650,377812,402359,413629,396878,387190,398958,380713,377069,365609,363195,361592,341150,341169,331912,331935,337919
1,Male,37,1,6,353728,360259,352724,373780,372063,369898,389277,377456,401985,413247,396517,386843,398605,380383,376744,365299,362892,361295,340874,340898,331653,331679
1,Male,38,1,6,361327,353701,360112,352535,373531,371763,369559,388922,377115,401626,412880,396171,386514,398268,380070,376437,365005,362607,361016,340619,340648,331416
1,Male,39,1,6,362479,361264,353535,359898,352288,373215,371406,369210,388555,376764,401255,412501,395813,386173,397920,379744,376119,364702,362313,360728,340354,340391
1,Male,40,1,6,339027,362256,360947,353185,359506,351865,372728,370926,368736,388060,376290,400752,411989,395327,385706,397444,379294,375679,364280,361898,360321,339976
1,Male,41,1,6,318630,338769,361889,360545,352761,359036,351372,372209,370413,368231,387533,375782,400217,411441,394808,385206,396934,378815,375209,363829,361456,359888
1,Male,42,1,6,314052,318571,338597,361653,360272,352457,358689,351040,371853,370063,367889,387168,375435,399846,411061,394453,384871,396593,378501,374903,363538,361178
1,Male,43,1,6,325148,314134,318575,338519,361513,360088,352244,358477,350836,371628,369844,367683,386939,375218,399613,410818,394237,384676,396394,378327,374731,363381
1,Male,44,1,6,326678,325294,314214,318608,338470,361395,359933,352102,358335,350704,371477,369696,367551,386784,375075,399454,410650,394093,384555,396273,378232,374638
1,Male,45,1,7,332246,326791,325351,314240,318591,338365,361223,359766,351950,358183,350563,371316,369539,367411,386621,374923,399287,410472,393943,384428,396148,378133
1,Male,46,1,7,360821,332207,326706,325243,314114,318421,338116,360945,359492,351695,357926,350321,371051,369277,367166,386352,374669,399014,410188,393690,384200,395918
1,Male,47,1,7,380989,360695,332073,326554,325073,313926,318196,337844,360644,359197,351418,357650,350061,370766,368998,366904,386066,374398,398724,409886,393421,383958
1,Male,48,1,7,391327,380738,360441,331838,326307,324808,313651,317917,337519,360285,358847,351088,357321,349749,370429,368667,366593,385727,374079,398383,409532,393104
1,Male,49,1,7,386343,391018,380412,360133,331557,326013,324500,313369,317634,337184,359920,358491,350754,356988,349436,370088,368335,366281,385388,373760,398042,409180
1,Male,50,1,7,403509,386034,390644,380040,359787,331241,325688,324197,313095,317358,336860,359560,358144,350429,356667,349133,369759,368015,365984,385064,373455,397714
1,Male,51,1,7,402692,402984,385515,390083,379492,359271,330772,325248,323779,312707,316969,336422,359085,357681,349996,356233,348722,369318,367585,365575,384627,373043
1,Male,52,1,7,410852,402026,402287,384849,389383,378810,358633,330219,324725,323278,312245,316505,335907,358528,357139,349484,355723,348235,368801,367080,365092,384112
1,Male,53,1,7,412777,410087,401267,401515,384116,388613,378065,357967,329644,324182,322760,311767,316026,335375,357954,356579,348957,355197,347735,368269,366560,364596
1,Male,54,1,7,413531,411823,409113,400319,400563,383207,387676,377186,357174,328951,323524,322127,311177,315437,334728,357263,355905,348316,354557,347125,367622,365927
1,Male,55,1,8,408267,412284,410581,407873,399115,399355,382060,386530,376103,356183,328071,322682,321310,310410,314670,333904,356384,355046,347494,353735,346336,366789
1,Male,56,1,8,409167,406744,410741,409057,406361,397645,397887,380688,385159,374797,354979,326993,321644,320300,309455,313714,332886,355305,353987,346477,352714,345354
1,Male,57,1,8,399435,407438,405023,409005,407339,404659,395990,396258,379163,383637,373345,353639,325791,320485,319169,308384,312642,331745,354098,352801,345337,351570
1,Male,58,1,8,395415,397482,405451,403052,407021,405378,402719,394125,394421,377438,381913,371699,352112,324416,319156,317869,307151,311408,330437,352714,351440,344028
1,Male,59,1,8,374574,393177,395238,403170,400799,404756,403141,400526,392015,392339,375480,379956,369826,350371,322842,317633,316377,305732,309987,328938,351127,349880
1,Male,60,1,8,360556,372302,390791,392845,400741,398395,402341,400777,398209,389785,390140,373413,377890,367849,348536,321187,316030,314808,304241,308494,327359,349456
1,Male,61,1,8,357668,358174,369847,388215,390265,398119,395803,399759,398248,395731,387399,387787,371201,375680,365735,346572,319418,314318,313133,302649,306900,325672
