Sex,Gender,Age,Ethnicity,Age Group,Region,RegionName,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,Male,0,1,1,1,NE,12523,14955,14130,12541,20270,15016,16516,12425,14957,12119,12612,15441,13464,15462,13959,15862,17381,12645,14196,12794,15244,15178
1,Male,1,1,1,1,NE,13166,12699,18302,12899,15165,13266,16562,13069,13531,17975,12891,12213,13858,17686,13679,12366,13849,13262,17723,16624,14076,18730
1,Male,2,1,1,1,NE,13976,15821,12837,13463,13265,14239,12548,14581,18549,12674,14631,14746,17072,16823,12398,18502,16231,13931,12531,14569,16225,14868
1,Male,3,1,1,1,NE,22746,16023,16287,14661,14288,16608,13069,12627,13241,15386,15699,15056,13907,20443,14388,12439,13989,13033,13357,18630,14393,13514
1,Male,4,1,1,1,NE,16133,13920,13796,18978,14574,18401,13786,14092,17309,13811,18224,17878,18231,18732,15940,14608,13163,16450,13255,14382,13503,14564
1,Male,5,1,1,1,NE,14146,14144,16222,20208,15102,13998,16742,20113,14945,13148,17745,12628,19835,13348,15514,13425,14954,17334,14659,17680,12708,18147
1,Male,6,1,1,1,NE,14837,15103,14664,15533,13551,16894,13601,13383,15080,20748,13287,13241,14276,17429,15330,15990,14649,13559,15133,14232,12803,13653
1,Male,7,1,1,1,NE,18029,16903,19100,14208,16486,18994,16599,19563,14316,13668,18534,19225,15610,16539,17741,14211,14359,12985,15457,12822,13404,16637
1,Male,8,1,1,1,NE,17700,15314,17249,17241,15092,22414,16827,14934,13159,13363,14187,13823,13251,15017,13452,13111,19812,18497,13337,13383,14097,13214
1,Male,9,1,1,1,NE,17786,18838,21815,15854,17252,14955,16153,16288,17869,13560,13983,17590,21849,20245,14774,14194,12837,17019,15745,16033,13467,13760
1,Male,10,1,1,1,NE,13955,18817,19303,18282,18844,20092,16424,14743,14480,14033,14341,16129,14471,14345,15990,14902,16729,15281,18488,13355,13953,13314
